freq_hz,power,power_db,active
-490121.146179,2.13073799e-06,-51.470001,0
-490090.307373,2.12711983e-06,-51.477382,0
-490059.468567,1.92447073e-06,-51.912189,0
-490028.629761,1.66092478e-06,-52.551802,0
-489997.790955,1.63248667e-06,-52.626805,0
-489966.952148,1.93703534e-06,-51.883926,0
-489936.113342,2.10201696e-06,-51.528940,0
-489905.274536,2.24971142e-06,-51.234034,0
-489874.435730,1.97327547e-06,-51.803425,0
-489843.596924,1.65028537e-06,-52.579711,0
-489812.758118,1.77095271e-06,-52.273232,0
-489781.919312,1.87968668e-06,-52.014447,0
-489751.080505,2.07357247e-06,-51.588110,0
-489720.241699,2.81991708e-06,-50.252938,0
-489689.402893,2.85886449e-06,-50.193366,0
-489658.564087,2.03054208e-06,-51.679182,0
-489627.725281,2.01242263e-06,-51.718110,0
-489596.886475,1.98885649e-06,-51.769267,0
-489566.047668,2.28828791e-06,-51.160195,0
-489535.208862,2.67011093e-06,-50.490009,0
-489504.370056,2.27453543e-06,-51.186375,0
-489473.531250,1.80627779e-06,-52.187456,0
-489442.692444,1.99923738e-06,-51.746658,0
-489411.853638,1.86464889e-06,-52.049331,0
-489381.014832,1.69563226e-06,-52.461985,0
-489350.176025,1.91791363e-06,-51.927011,0
-489319.337219,2.22042301e-06,-51.290945,0
-489288.498413,2.07280358e-06,-51.589720,0
-489257.659607,1.76909188e-06,-52.277798,0
-489226.820801,1.89933226e-06,-51.969292,0
-489195.981995,2.41708202e-06,-50.922388,0
-489165.143188,2.6081199e-06,-50.592026,0
-489134.304382,2.35920628e-06,-51.027643,0
-489103.465576,2.03626628e-06,-51.666956,0
-489072.626770,2.27796686e-06,-51.179828,0
-489041.787964,2.21427132e-06,-51.302993,0
-489010.949158,1.94669855e-06,-51.862315,0
-488980.110352,2.05414211e-06,-51.628997,0
-488949.271545,2.21698465e-06,-51.297675,0
-488918.432739,2.25890127e-06,-51.216329,0
-488887.593933,2.06422438e-06,-51.607733,0
-488856.755127,1.87002894e-06,-52.036818,0
-488825.916321,1.99841378e-06,-51.748448,0
-488795.077515,1.99231661e-06,-51.761718,0
-488764.238708,2.23363639e-06,-51.265177,0
-488733.399902,2.24782139e-06,-51.237684,0
-488702.561096,2.76931112e-06,-50.331584,0
-488671.722290,2.3684845e-06,-51.010596,0
-488640.883484,2.05275947e-06,-51.631921,0
-488610.044678,2.11413438e-06,-51.503976,0
-488579.205872,2.1372254e-06,-51.456798,0
-488548.367065,2.03650764e-06,-51.666441,0
-488517.528259,2.3412069e-06,-51.060904,0
-488486.689453,2.69011832e-06,-50.457588,0
-488455.850647,2.45523048e-06,-50.854379,0
-488425.011841,2.57129691e-06,-50.653779,0
-488394.173035,2.83311009e-06,-50.232667,0
-488363.334229,2.32123688e-06,-51.098107,0
-488332.495422,1.94745106e-06,-51.860636,0
-488301.656616,1.8586303e-06,-52.063372,0
-488270.817810,2.49721005e-06,-50.780751,0
-488239.979004,2.54443068e-06,-50.699395,0
-488209.140198,1.99548124e-06,-51.754825,0
-488178.301392,1.95273213e-06,-51.848875,0
-488147.462585,1.97811184e-06,-51.792793,0
-488116.623779,2.29421317e-06,-51.148964,0
-488085.784973,1.99627428e-06,-51.753100,0
-488054.946167,2.13007755e-06,-51.471348,0
-488024.107361,2.2708024e-06,-51.193508,0
-487993.268555,2.35468562e-06,-51.035972,0
-487962.429749,2.29734973e-06,-51.143031,0
-487931.590942,2.16254361e-06,-51.405653,0
-487900.752136,2.18389818e-06,-51.362978,0
-487869.913330,2.19608258e-06,-51.338815,0
-487839.074524,2.07607904e-06,-51.582863,0
-487808.235718,1.91443313e-06,-51.934900,0
-487777.396912,1.88413851e-06,-52.004173,0
-487746.558105,2.9175355e-06,-50.105140,0
-487715.719299,2.85458552e-06,-50.199871,0
-487684.880493,2.30487712e-06,-51.128824,0
-487654.041687,1.82964883e-06,-52.131624,0
-487623.202881,1.88123114e-06,-52.010880,0
-487592.364075,2.05343375e-06,-51.630495,0
-487561.525269,2.37007202e-06,-51.007686,0
-487530.686462,2.36942227e-06,-51.008877,0
-487499.847656,2.24143719e-06,-51.250036,0
-487469.008850,2.67241643e-06,-50.486260,0
-487438.170044,2.26794041e-06,-51.198985,0
-487407.331238,2.25471826e-06,-51.224379,0
-487376.492432,2.20974541e-06,-51.311879,0
