i,q,symbol,bin,qpsk4_score,carrier_rms
-0.2748426,0.5232025,2,-156,0.2270214,0.0464690
-1.4678133,1.6262107,2,-155,0.1970630,0.0450227
0.0337855,0.6785312,2,-152,0.1717015,0.0457752
0.4481253,-0.0002162,2,-151,0.1605397,0.0463318
-0.2331196,0.5771456,2,-146,0.2097332,0.0461742
-1.0370818,1.3584806,2,-143,0.2088511,0.0484597
0.7054564,-0.2704350,2,-138,0.2030334,0.0436861
-0.7930971,-0.8244195,2,-135,0.2484976,0.0437259
-0.1114369,-0.3319530,2,-134,0.1728886,0.0452208
0.0246980,-0.2582291,2,-132,0.2492172,0.0471908
-0.0046319,0.1634174,2,-130,0.2185065,0.0484956
-1.6559548,0.3068563,2,-128,0.2142955,0.0497278
-0.9491192,-0.4987152,2,-123,0.1750509,0.0504233
1.2595851,0.2780907,2,-121,0.1706775,0.0482330
-0.7395241,0.5070868,2,-119,0.1570650,0.0460406
0.5405925,-0.3505833,2,-118,0.1443658,0.0452263
0.1177748,0.7395380,2,-117,0.1886027,0.0447311
-0.4580107,0.6086849,2,-116,0.2375168,0.0475867
1.4760376,0.3416709,2,-114,0.1665477,0.0462379
-0.7146003,-0.1643893,2,-113,0.3565924,0.0472855
-0.7702020,-0.5555599,2,-112,0.2246836,0.0478658
-0.8261340,-0.0725022,2,-108,0.2135915,0.0463117
0.0881683,0.6773923,2,-107,0.1424314,0.0488541
-0.5299083,-0.5547913,2,-105,0.1700114,0.0478369
1.6179104,0.0387707,2,-102,0.1455248,0.0460441
-0.3276399,1.5230178,2,-97,0.2231352,0.0468305
-0.6373694,-0.8804560,2,-93,0.1646879,0.0470861
1.0744253,-0.1573859,2,-92,0.3089982,0.0460732
1.2812533,-0.5231150,2,-91,0.2321491,0.0492880
0.6554728,0.4310580,2,-86,0.1722495,0.0461495
-0.8390195,-0.0462606,2,-84,0.1585806,0.0476333
-0.6976506,-0.7415990,2,-83,0.1374099,0.0476727
-0.6331184,-0.3508467,2,-79,0.1861676,0.0487268
-1.0043074,0.4806621,2,-76,0.2045140,0.0481646
1.6151018,-0.4686487,2,-74,0.1948881,0.0492121
-1.0699937,0.3540542,2,-73,0.1472219,0.0492468
-0.5403143,-0.5774373,2,-72,0.2633018,0.0480336
-0.7811988,-0.1297308,2,-69,0.1511319,0.0485273
-1.1912525,-0.5162733,2,-64,0.3113982,0.0487102
1.3410155,0.5147520,2,-62,0.1939685,0.0475836
0.2405282,1.5410107,2,-61,0.1683552,0.0482859
0.4466874,0.8944067,2,-60,0.1550666,0.0497879
0.8763452,0.3996780,2,-59,0.2103914,0.0506227
-0.8617756,0.1360551,2,-58,0.2477017,0.0476262
0.2916683,-0.0089392,2,-56,0.1511308,0.0486317
-0.1397697,0.5177717,2,-55,0.2794665,0.0477681
1.3240395,-0.0992629,2,-54,0.1639302,0.0472464
