i,q,symbol,bin,qpsk4_score,carrier_rms
-0.1296849,-0.1932295,1,22,0.1895348,0.0355227
1.0467250,0.3790168,1,23,0.1915137,0.0334208
1.5084136,1.3064756,1,25,0.2142462,0.0346849
-1.1719706,-0.8318481,1,28,0.1805312,0.0358344
-0.2288402,0.8357885,1,29,0.1930501,0.0366088
-1.4586760,-1.3288096,1,35,0.2019382,0.0332735
1.1699044,1.1498071,1,36,0.3715389,0.0355155
-0.6412663,0.0651642,1,37,0.1829389,0.0351517
0.3821853,0.2968136,1,38,0.2291635,0.0347135
0.1518841,0.3225931,1,40,0.3006281,0.0343368
0.1074031,0.7955572,1,44,0.2914636,0.0348589
-0.4328241,0.3541969,1,50,0.2318919,0.0339833
-0.5619801,0.1522281,1,51,0.2519314,0.0345825
-0.8557547,0.2612521,1,57,0.1652217,0.0325672
0.0611643,0.1213920,1,58,0.2815688,0.0330293
0.3426544,-1.4036241,1,61,0.2645710,0.0337149
0.0509729,-0.1492043,1,62,0.1939015,0.0341952
0.9738720,-0.1842067,1,64,0.1700183,0.0341875
0.2699415,0.0697782,1,67,0.2822345,0.0339150
-0.2752399,0.7009279,1,69,0.1695313,0.0322643
0.0735072,0.0174857,1,72,0.1896206,0.0323346
-0.8531734,0.6825643,1,75,0.1675968,0.0343307
0.0930331,0.6076714,1,77,0.2244337,0.0336526
-0.4551155,-0.3484636,1,78,0.1891632,0.0333471
0.0739600,1.0543048,2,-79,0.2501132,0.0322619
-0.4975257,0.2247746,2,-76,0.3398334,0.0327613
-0.1232387,-0.2797664,2,-74,0.1941545,0.0344416
-0.5515561,-0.1647881,2,-72,0.2003226,0.0324508
0.6596929,-0.4184072,2,-71,0.2163529,0.0324261
-1.7727342,0.1885763,2,-70,0.2217442,0.0311667
0.1297380,-0.3111629,2,-68,0.1923675,0.0312710
-0.0791144,0.7521259,2,-67,0.1570395,0.0345046
0.8549858,1.9496155,2,-65,0.1866726,0.0345717
-0.4424088,0.5944888,2,-63,0.2275395,0.0348791
0.2229615,-1.1540414,2,-62,0.2089079,0.0343295
