channel_snr_db,noise_bandwidth_hz,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
6.20,333000,250k,250000,7.45,4.43,1/2,240,240,0,0.00
6.40,333000,250k,250000,7.65,4.63,1/2,240,240,0,0.00
6.60,333000,250k,250000,7.85,4.83,1/2,240,240,0,0.00
6.80,333000,250k,250000,8.05,5.03,1/2,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,1/2,240,240,0,0.00
7.20,333000,250k,250000,8.45,5.43,1/2,240,240,0,0.00
7.40,333000,250k,250000,8.65,5.63,1/2,240,240,0,0.00
7.60,333000,250k,250000,8.85,5.83,1/2,240,240,0,0.00
7.80,333000,250k,250000,9.05,6.03,1/2,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,1/2,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,2/3,240,0,240,100.00
0.20,333000,250k,250000,1.45,-1.57,2/3,240,0,240,100.00
0.40,333000,250k,250000,1.65,-1.37,2/3,240,0,240,100.00
0.60,333000,250k,250000,1.85,-1.17,2/3,240,0,240,100.00
0.80,333000,250k,250000,2.05,-0.97,2/3,240,0,240,100.00
1.00,333000,250k,250000,2.25,-0.77,2/3,240,0,240,100.00
1.20,333000,250k,250000,2.45,-0.57,2/3,240,0,240,100.00
1.40,333000,250k,250000,2.65,-0.37,2/3,240,0,240,100.00
1.60,333000,250k,250000,2.85,-0.17,2/3,240,3,237,98.75
1.80,333000,250k,250000,3.05,0.03,2/3,240,7,233,97.08
2.00,333000,250k,250000,3.25,0.23,2/3,240,17,223,92.92
2.20,333000,250k,250000,3.45,0.43,2/3,240,41,199,82.92
2.40,333000,250k,250000,3.65,0.63,2/3,240,85,155,64.58
2.60,333000,250k,250000,3.85,0.83,2/3,240,120,120,50.00
2.80,333000,250k,250000,4.05,1.03,2/3,240,151,89,37.08
3.00,333000,250k,250000,4.25,1.23,2/3,240,183,57,23.75
3.20,333000,250k,250000,4.45,1.43,2/3,240,200,40,16.67
3.40,333000,250k,250000,4.65,1.63,2/3,240,209,31,12.92
3.60,333000,250k,250000,4.85,1.83,2/3,240,229,11,4.58
3.80,333000,250k,250000,5.05,2.03,2/3,240,232,8,3.33
4.00,333000,250k,250000,5.25,2.23,2/3,240,239,1,0.42
4.20,333000,250k,250000,5.45,2.43,2/3,240,237,3,1.25
4.40,333000,250k,250000,5.65,2.63,2/3,240,239,1,0.42
4.60,333000,250k,250000,5.85,2.83,2/3,240,240,0,0.00
4.80,333000,250k,250000,6.05,3.03,2/3,240,239,1,0.42
5.00,333000,250k,250000,6.25,3.23,2/3,240,240,0,0.00
5.20,333000,250k,250000,6.45,3.43,2/3,240,240,0,0.00
5.40,333000,250k,250000,6.65,3.63,2/3,240,240,0,0.00
5.60,333000,250k,250000,6.85,3.83,2/3,240,240,0,0.00
5.80,333000,250k,250000,7.05,4.03,2/3,240,240,0,0.00
6.00,333000,250k,250000,7.25,4.23,2/3,240,240,0,0.00
6.20,333000,250k,250000,7.45,4.43,2/3,240,240,0,0.00
6.40,333000,250k,250000,7.65,4.63,2/3,240,240,0,0.00
6.60,333000,250k,250000,7.85,4.83,2/3,240,240,0,0.00
6.80,333000,250k,250000,8.05,5.03,2/3,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,2/3,240,240,0,0.00
7.20,333000,250k,250000,8.45,5.43,2/3,240,240,0,0.00
7.40,333000,250k,250000,8.65,5.63,2/3,240,240,0,0.00
7.60,333000,250k,250000,8.85,5.83,2/3,240,240,0,0.00
7.80,333000,250k,250000,9.05,6.03,2/3,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,2/3,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,3/4,240,0,240,100.00
0.20,333000,250k,250000,1.45,-1.57,3/4,240,0,240,100.00
0.40,333000,250k,250000,1.65,-1.37,3/4,240,0,240,100.00
0.60,333000,250k,250000,1.85,-1.17,3/4,240,0,240,100.00
0.80,333000,250k,250000,2.05,-0.97,3/4,240,0,240,100.00
1.00,333000,250k,250000,2.25,-0.77,3/4,240,0,240,100.00
1.20,333000,250k,250000,2.45,-0.57,3/4,240,0,240,100.00
1.40,333000,250k,250000,2.65,-0.37,3/4,240,0,240,100.00
1.60,333000,250k,250000,2.85,-0.17,3/4,240,0,240,100.00
1.80,333000,250k,250000,3.05,0.03,3/4,240,0,240,100.00
2.00,333000,250k,250000,3.25,0.23,3/4,240,0,240,100.00
2.20,333000,250k,250000,3.45,0.43,3/4,240,0,240,100.00
2.40,333000,250k,250000,3.65,0.63,3/4,240,1,239,99.58
2.60,333000,250k,250000,3.85,0.83,3/4,240,4,236,98.33
2.80,333000,250k,250000,4.05,1.03,3/4,240,5,235,97.92
3.00,333000,250k,250000,4.25,1.23,3/4,240,25,215,89.58
3.20,333000,250k,250000,4.45,1.43,3/4,240,68,172,71.67
3.40,333000,250k,250000,4.65,1.63,3/4,240,100,140,58.33
3.60,333000,250k,250000,4.85,1.83,3/4,240,129,111,46.25
3.80,333000,250k,250000,5.05,2.03,3/4,240,172,68,28.33
4.00,333000,250k,250000,5.25,2.23,3/4,240,188,52,21.67
4.20,333000,250k,250000,5.45,2.43,3/4,240,213,27,11.25
4.40,333000,250k,250000,5.65,2.63,3/4,240,220,20,8.33
4.60,333000,250k,250000,5.85,2.83,3/4,240,232,8,3.33
4.80,333000,250k,250000,6.05,3.03,3/4,240,229,11,4.58
5.00,333000,250k,250000,6.25,3.23,3/4,240,236,4,1.67
5.20,333000,250k,250000,6.45,3.43,3/4,240,240,0,0.00
5.40,333000,250k,250000,6.65,3.63,3/4,240,240,0,0.00
5.60,333000,250k,250000,6.85,3.83,3/4,240,238,2,0.83
5.80,333000,250k,250000,7.05,4.03,3/4,240,239,1,0.42
6.00,333000,250k,250000,7.25,4.23,3/4,240,240,0,0.00
6.20,333000,250k,250000,7.45,4.43,3/4,240,240,0,0.00
6.40,333000,250k,250000,7.65,4.63,3/4,240,240,0,0.00
6.60,333000,250k,250000,7.85,4.83,3/4,240,240,0,0.00
6.80,333000,250k,250000,8.05,5.03,3/4,240,240,0,0.00
7.00,333000,250k,250000,8.25,5.23,3/4,240,240,0,0.00
7.20,333000,250k,250000,8.45,5.43,3/4,240,240,0,0.00
7.40,333000,250k,250000,8.65,5.63,3/4,240,240,0,0.00
7.60,333000,250k,250000,8.85,5.83,3/4,240,240,0,0.00
7.80,333000,250k,250000,9.05,6.03,3/4,240,240,0,0.00
8.00,333000,250k,250000,9.25,6.23,3/4,240,240,0,0.00
0.00,333000,150k,150000,3.46,0.45,1/2,240,235,5,2.08
0.20,333000,150k,150000,3.66,0.65,1/2,240,235,5,2.08
0.40,333000,150k,150000,3.86,0.85,1/2,240,238,2,0.83
0.60,333000,150k,150000,4.06,1.05,1/2,240,238,2,0.83
0.80,333000,150k,150000,4.26,1.25,1/2,240,240,0,0.00
1.00,333000,150k,150000,4.46,1.45,1/2,240,240,0,0.00
1.20,333000,150k,150000,4.66,1.65,1/2,240,240,0,0.00
1.40,333000,150k,150000,4.86,1.85,1/2,240,240,0,0.00
1.60,333000,150k,150000,5.06,2.05,1/2,240,240,0,0.00
1.80,333000,150k,150000,5.26,2.25,1/2,240,240,0,0.00
2.00,333000,150k,150000,5.46,2.45,1/2,240,240,0,0.00
2.20,333000,150k,150000,5.66,2.65,1/2,240,240,0,0.00
2.40,333000,150k,150000,5.86,2.85,1/2,240,240,0,0.00
2.60,333000,150k,150000,6.06,3.05,1/2,240,240,0,0.00
2.80,333000,150k,150000,6.26,3.25,1/2,240,240,0,0.00
3.00,333000,150k,150000,6.46,3.45,1/2,240,240,0,0.00
3.20,333000,150k,150000,6.66,3.65,1/2,240,240,0,0.00
3.40,333000,150k,150000,6.86,3.85,1/2,240,240,0,0.00
3.60,333000,150k,150000,7.06,4.05,1/2,240,240,0,0.00
3.80,333000,150k,150000,7.26,4.25,1/2,240,240,0,0.00
4.00,333000,150k,150000,7.46,4.45,1/2,240,240,0,0.00
4.20,333000,150k,150000,7.66,4.65,1/2,240,240,0,0.00
4.40,333000,150k,150000,7.86,4.85,1/2,240,240,0,0.00
4.60,333000,150k,150000,8.06,5.05,1/2,240,240,0,0.00
4.80,333000,150k,150000,8.26,5.25,1/2,240,240,0,0.00
5.00,333000,150k,150000,8.46,5.45,1/2,240,240,0,0.00
5.20,333000,150k,150000,8.66,5.65,1/2,240,240,0,0.00
5.40,333000,150k,150000,8.86,5.85,1/2,240,240,0,0.00
5.60,333000,150k,150000,9.06,6.05,1/2,240,240,0,0.00
5.80,333000,150k,150000,9.26,6.25,1/2,240,240,0,0.00
6.00,333000,150k,150000,9.46,6.45,1/2,240,240,0,0.00
6.20,333000,150k,150000,9.66,6.65,1/2,240,240,0,0.00
6.40,333000,150k,150000,9.86,6.85,1/2,240,240,0,0.00
6.60,333000,150k,150000,10.06,7.05,1/2,240,240,0,0.00
6.80,333000,150k,150000,10.26,7.25,1/2,240,240,0,0.00
7.00,333000,150k,150000,10.46,7.45,1/2,240,240,0,0.00
7.20,333000,150k,150000,10.66,7.65,1/2,240,240,0,0.00
7.40,333000,150k,150000,10.86,7.85,1/2,240,240,0,0.00
7.60,333000,150k,150000,11.06,8.05,1/2,240,240,0,0.00
7.80,333000,150k,150000,11.26,8.25,1/2,240,240,0,0.00
8.00,333000,150k,150000,11.46,8.45,1/2,240,240,0,0.00
0.00,333000,150k,150000,3.46,0.45,2/3,240,51,189,78.75
0.20,333000,150k,150000,3.66,0.65,2/3,240,75,165,68.75
0.40,333000,150k,150000,3.86,0.85,2/3,240,115,125,52.08
0.60,333000,150k,150000,4.06,1.05,2/3,240,151,89,37.08
0.80,333000,150k,150000,4.26,1.25,2/3,240,172,68,28.33
1.00,333000,150k,150000,4.46,1.45,2/3,240,205,35,14.58
1.20,333000,150k,150000,4.66,1.65,2/3,240,222,18,7.50
1.40,333000,150k,150000,4.86,1.85,2/3,240,236,4,1.67
1.60,333000,150k,150000,5.06,2.05,2/3,240,234,6,2.50
1.80,333000,150k,150000,5.26,2.25,2/3,240,233,7,2.92
2.00,333000,150k,150000,5.46,2.45,2/3,240,236,4,1.67
2.20,333000,150k,150000,5.66,2.65,2/3,240,237,3,1.25
2.40,333000,150k,150000,5.86,2.85,2/3,240,238,2,0.83
2.60,333000,150k,150000,6.06,3.05,2/3,240,239,1,0.42
2.80,333000,150k,150000,6.26,3.25,2/3,240,239,1,0.42
3.00,333000,150k,150000,6.46,3.45,2/3,240,240,0,0.00
3.20,333000,150k,150000,6.66,3.65,2/3,240,240,0,0.00
3.40,333000,150k,150000,6.86,3.85,2/3,240,240,0,0.00
3.60,333000,150k,150000,7.06,4.05,2/3,240,240,0,0.00
3.80,333000,150k,150000,7.26,4.25,2/3,240,240,0,0.00
4.00,333000,150k,150000,7.46,4.45,2/3,240,240,0,0.00
4.20,333000,150k,150000,7.66,4.65,2/3,240,240,0,0.00
4.40,333000,150k,150000,7.86,4.85,2/3,240,240,0,0.00
4.60,333000,150k,150000,8.06,5.05,2/3,240,240,0,0.00
4.80,333000,150k,150000,8.26,5.25,2/3,240,240,0,0.00
5.00,333000,150k,150000,8.46,5.45,2/3,240,240,0,0.00
5.20,333000,150k,150000,8.66,5.65,2/3,240,240,0,0.00
5.40,333000,150k,150000,8.86,5.85,2/3,240,240,0,0.00
5.60,333000,150k,150000,9.06,6.05,2/3,240,240,0,0.00
5.80,333000,150k,150000,9.26,6.25,2/3,240,240,0,0.00
6.00,333000,150k,150000,9.46,6.45,2/3,240,240,0,0.00
6.20,333000,150k,150000,9.66,6.65,2/3,240,240,0,0.00
6.40,333000,150k,150000,9.86,6.85,2/3,240,240,0,0.00
6.60,333000,150k,150000,10.06,7.05,2/3,240,240,0,0.00
6.80,333000,150k,150000,10.26,7.25,2/3,240,240,0,0.00
7.00,333000,150k,150000,10.46,7.45,2/3,240,240,0,0.00
7.20,333000,150k,150000,10.66,7.65,2/3,240,240,0,0.00
7.40,333000,150k,150000,10.86,7.85,2/3,240,240,0,0.00
7.60,333000,150k,150000,11.06,8.05,2/3,240,240,0,0.00
7.80,333000,150k,150000,11.26,8.25,2/3,240,240,0,0.00
8.00,333000,150k,150000,11.46,8.45,2/3,240,240,0,0.00
0.00,333000,150k,150000,3.46,0.45,3/4,240,0,240,100.00
0.20,333000,150k,150000,3.66,0.65,3/4,240,0,240,100.00
0.40,333000,150k,150000,3.86,0.85,3/4,240,3,237,98.75
0.60,333000,150k,150000,4.06,1.05,3/4,240,19,221,92.08
0.80,333000,150k,150000,4.26,1.25,3/4,240,30,210,87.50
1.00,333000,150k,150000,4.46,1.45,3/4,240,57,183,76.25
1.20,333000,150k,150000,4.66,1.65,3/4,240,99,141,58.75
1.40,333000,150k,150000,4.86,1.85,3/4,240,140,100,41.67
1.60,333000,150k,150000,5.06,2.05,3/4,240,164,76,31.67
1.80,333000,150k,150000,5.26,2.25,3/4,240,190,50,20.83
2.00,333000,150k,150000,5.46,2.45,3/4,240,205,35,14.58
