i,q,symbol,bin
0.4643278,0.8856634,2,-22
0.6687730,0.7434666,2,-21
-0.4224003,-0.9064094,2,-20
-0.8370579,-0.5471141,2,-19
-0.9836951,0.1798442,2,-18
-0.8647017,0.5022856,2,-17
-0.1895708,-0.9818671,2,-16
-0.9706903,-0.2403338,2,-15
-0.3337223,-0.9426714,2,-14
0.5014439,-0.8651901,2,-13
0.8623927,-0.5062398,2,-12
-0.0919652,0.9957622,2,-11
-0.2793235,-0.9601970,2,-10
-0.8083261,-0.5887350,2,-9
-0.1997132,-0.9798543,2,-8
-0.8608505,-0.5088579,2,-7
-0.3120823,0.9500551,2,-6
-0.1995780,0.9798819,2,-5
-0.9580871,0.2864771,2,-4
0.7485343,-0.6630961,2,-3
0.9104306,0.4136618,2,-2
0.6862509,0.7273649,2,-1
-0.9497505,0.3130080,2,1
0.9492797,-0.3144328,2,2
-0.6787441,-0.7343748,2,3
0.9558712,-0.2937860,2,4
0.9993906,0.0349046,2,5
-0.6120524,-0.7908172,2,6
0.2633770,0.9646930,2,7
-0.9999777,0.0066710,2,8
0.7714664,0.6362700,2,9
0.9722921,0.2337695,2,10
0.8772566,-0.4800218,2,11
0.9692743,0.2459823,2,12
-0.9171696,0.3984972,2,13
-0.8330763,-0.5531580,2,14
0.3855098,-0.9227037,2,15
-0.9997261,-0.0234070,2,16
0.8731761,-0.4874048,2,17
0.7512161,-0.6600564,2,18
0.6721442,-0.7404202,2,19
-0.9825115,0.1862022,2,20
-0.0934049,0.9956282,2,21
0.8201815,-0.5721033,2,22
-0.4992165,-0.8664773,2,23
0.8488023,0.5287105,2,24
0.9991980,0.0400436,2,25
-0.9866098,-0.1630986,2,26
0.9604755,0.2783646,2,27
-0.6617072,-0.7497624,2,28
-0.1981209,0.9801776,2,29
-0.8457900,0.5335159,2,30
0.5822263,0.8130268,2,31
-0.4213342,-0.9069054,2,32
-0.7058563,-0.7083550,2,33
-0.0148687,-0.9998894,2,34
0.4175612,-0.9086488,2,35
-0.6092783,-0.7929564,2,36
0.8754875,-0.4832407,2,37
-0.3991938,0.9168666,2,38
-0.5213689,-0.8533314,2,39
-0.7495919,0.6619003,2,40
-0.4102660,-0.9119659,2,41
0.9915081,-0.1300445,2,42
-0.0601339,0.9981903,2,43
0.9612889,-0.2755424,2,44
-0.1949845,-0.9808064,2,45
0.4701703,0.8825757,2,46
0.9998519,0.0172103,2,47
-0.7769380,0.6295772,2,48
0.8189977,-0.5737967,2,49
0.5784679,-0.8157052,2,50
-0.7638293,0.6454183,2,51
0.9276738,0.3733918,2,52
-0.8639230,0.5036239,2,53
0.9906683,0.1362951,2,54
-0.1377493,-0.9904671,2,55
-0.3728985,-0.9278721,2,56
0.2626273,-0.9648973,2,57
-0.7683084,-0.6400799,2,58
-0.9529822,0.3030260,2,59
-0.3145447,-0.9492427,2,60
0.2944969,-0.9556525,2,61
-0.6564305,-0.7543865,2,62
0.9606376,0.2778048,2,63
0.9999679,0.0080097,2,64
0.9959308,-0.0901215,2,65
0.9128850,0.4082169,2,66
0.9962164,0.0869085,2,67
0.7789912,-0.6270348,2,68
0.8811315,0.4728713,2,69
-0.9999587,-0.0090932,2,70
-0.4504270,-0.8928132,2,71
0.4489142,0.8935748,2,72
-0.8821397,-0.4709877,2,73
-0.4979487,-0.8672065,2,74
